-	\nenter\nv.\n～に入り込む | enter ~\nCentral
0	[neru/o]\nadjective\n0\n0\nCentral Standard Note
1	[noi/i]\nadjective\n1\n1\nCentral Standard Note
10	[deku/de]\nadjective\n10\n10\nCentral Standard Note
100	[heku/he^]\nadjective\n100\n100\nCentral Standard Note
1000	[kiku/kii]\nadjective\n1000\n1000\nCentral Standard Note
10000	[miku/mii]\nadjective\n10000\n10000\nCentral Standard Note
2	[ji]\nadjective\n2\n2\nCentral Standard Note
3	[dori]\nadjective\n3\n3\nCentral Standard Note
4	[fefu]\nadjective\n4\n4\nCentral Standard Note
5	[vira]\nadjective\n5\n5\nCentral Standard Note
6	[ikusa]\nadjective\n6\n6\nCentral Standard Note
7	[heputo]\nadjective\n7\n7\nCentral Standard Note
8	[okuta]\nadjective\n8\n8\nCentral Standard Note
9	[nei]\nadjective\n9\n9\nCentral Standard Note
<-x	[(su)pagu]\nlanguage construct\nこれ \n(anaphor indicator) \nNew Testament of Pastalie
>>	\nlanguage construct\nTras\nTras\nCentral
ADDR	[?]\nlanguage construct\nアドレス指定 \naddress designation \nUnknown [Unofficial]
Chronicle Key	\nn.\nヒュムノス・クロニクルキー\nChronicle Key (a hymn)\nAlpha (Eolia)
D_CELL	[D serofan]\nlanguage construct\nDセロファン \nD-Cellophane \nUnknown [Unofficial]
Despedia	\nn.\nヒュムノス・デスペディア\nDespedia (a hymn)\n
Dia	[dia]\nn.\n王、王座、玉座、支配者\nking, throne, ruler\nCentral Standard Note
EXA_PICO	[ekusapi^ko]\nnoun\nエクサピーコ \nExa Pico \nUnknown [Unofficial]
Fou	[fou]\nE.s. I\nちょっと\nA little\nCentral Standard Note
Haibanation	[haiba^neshon]\nn.\nヒュムノス・ハイバーネション\nHibernation (a hymn)\nUnknown [Unofficial]
Harmonius	\nn.\nヒュムノス・ハーモニウス\nHarmonious (a hymn)\nCentral
Implanta	[imupuranta]\nn.\nヒュムノスイムプランタ, 神の大樹, 実\nImplanta (a hymn); God's Tree in the myths of Metafalss, fruit, seed\nUnknown [Unofficial]
Linca	[rinka]\nn.\nヒュムノス・リンカ\nLinker (a hymn)\nCentral Standard Note
Ma	[ma]\nE.s. I\n平常心\npresence of mind\nCentral Standard Note
Manac	[manaku]\nn.\n真名、魂の名前、御魂名\ntrue name, name of soul\nCult Ciel Note
Maoh	\nn.\nマオ\nRhaplanca's partner in the myths of Metafalss.\nAncient Metafalss
Meta	[?]\nnoun\n? \nMid-sized mountainous region \nUnknown [Unofficial]
Metafalica	[metafarika]\nn.\nヒュムノス・メタファリカ\nMetafalica (a hymn), Song of Hope (to Mir), Song of Creation, Utopia\nMetafalss Note
Nn	[n]\nE.s. I\n無気力状態\nlethargy\nCentral Standard Note
Paja	[pa^ja]\nn.\nヒュムノス・パージャ\nPurger (a hymn)\nCentral Standard Note
Phantasmagoria	[fantasumagoria]\nn.\nヒュムノス・ファンタスマゴリア\nPhantasmagoria (a hymn)\nAlpha Note (EOLIA)
Re=Nation	[rineishon]\nn.\nヒュムノス・リネイション\nRe-Nation (a hymn)\nCentral Standard Note
Replekia	\nn.\nヒュムノス・レプレキア\nReplakia (a hymn)\n
Rhaplanca	\nn.\nラプランカ\na goddess from Meta Falss' mythology, and Maoh's partner\nAncient Metafalss
Rig=Veda	[riguve^da]\nn.\nヒュムノス・リグヴェーダ\nRigveda (a hymn)\nMetafalss Note
Rrha	[ra]\nE.s. I\nトランス状態 (自分の気が正気か否かもわからないくらいトランス状態の時に使う。もっとも、これを使うときは、これ以外の想音を使おうと思えるほど冷静ではないので、自然とこれが口から出てくる。)\ntrance state (Note: Used only for a trance state in which the emotions of the singer aren't really expressed. Naturally, when this emotion sound is used, it doesn't show the same calm and composure of the other emotion sounds, and it flows by itself from the mouth of the singer)\nCentral Standard Note
Sol=Fage	\nn.\nヒュムノス・ソルフェージ\nSolfege (a hymn)\n
Sphilia	\nn.\nヒュムノス・スフィリャ\nSphilia (a hymn)\n
Sublimation	\nn.\nヒュムノス・サブリメーション\nSublimation (a hymn), sublimation (as in disappear)\n
Suspend	[sasupendo]\nn.\nヒュムノス・サスペンド\nSuspend (a hymn)\nCentral Standard Note
U-TA	[?]\nnoun\n「詩」 \nsong \nUnknown [Unofficial]
VIENA	\nn.\nヒュムノスヴィーナ\nViena (a hymn)\n
