-	\n▪<i><font face='mono'>enter</font></i>\n～に入り込む | enter ~\n\n<b>&lt;DIALECT&gt;</b> Central\n
0	[neru/o]\n▪<i><font face='mono'>adjective</font></i>\n0: <i><font color='#404040'>Rrha ki ra echcrra li 0 Rrha ki ra chs maxim&nbsp;&nbsp;—<font size='1'>EXEC_METAFALICA/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
1	[noi/i]\n▪<i><font face='mono'>adjective</font></i>\n1: <i><font color='#404040'>fulual 1 dornpica art 1 walasye enne&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
10	[deku/de]\n▪<i><font face='mono'>adjective</font></i>\n10: <i><font color='#404040'>En 10 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
100	[heku/he^]\n▪<i><font face='mono'>adjective</font></i>\n100: <i><font color='#404040'>En 100 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
1000	[kiku/kii]\n▪<i><font face='mono'>adjective</font></i>\n1000: <i><font color='#404040'>En 1000 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
10000	[miku/mii]\n▪<i><font face='mono'>adjective</font></i>\n10000\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
2	[ji]\n▪<i><font face='mono'>adjective</font></i>\n2: <i><font color='#404040'>En 2 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
3	[dori]\n▪<i><font face='mono'>adjective</font></i>\n3: <i><font color='#404040'>En 3 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
4	[fefu]\n▪<i><font face='mono'>adjective</font></i>\n4: <i><font color='#404040'>En 4 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
5	[vira]\n▪<i><font face='mono'>adjective</font></i>\n5: <i><font color='#404040'>En 5 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
6	[ikusa]\n▪<i><font face='mono'>adjective</font></i>\n6: <i><font color='#404040'>En 6 dyyal nuih bexm&nbsp;&nbsp;—<font size='1'>EXEC_HIBERNATION/.</font></font></i>\n\n<b>&lt;DIALECT&gt;</b> Central Standard Note\n
